ActivityID,ActivityType,ActivityTime,PageURL,UserAgent,ReferrerURL,DeviceID
57001,impression,2023-01-10 2:33:22,null,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),www.google.com,FBAAFA9F-45F4-4F11-8593-41DD4BFF1B8B
57002,visit_site,2023-01-10 2:37:10,www.beautyshop.com,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),www.google.com,FBAAFA9F-45F4-4F11-8593-41DD4BFF1B8B
57003,search,2023-01-10 2:42:53,www.beautyshop.com/search/?query=brightening+vitamin+c+cream,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),NULL,FBAAFA9F-45F4-4F11-8593-41DD4BFF1B8B
57004,view_product,2023-01-10 2:46:41,www.beautyshop.com/product/9111,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),www.google.com,FBAAFA9F-45F4-4F11-8593-41DD4BFF1B8B
57005,add_to_cart,2023-01-10 2:56:16,www.beautyshop.com/cart,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),NULL,FBAAFA9F-45F4-4F11-8593-41DD4BFF1B8B
57006,checkout,2023-01-10 3:03:12,www.beautyshop.com/checkout,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),www.beautyshop.com/product/9111,FBAAFA9F-45F4-4F11-8593-41DD4BFF1B8B
57007,visit_site,2023-01-10 4:42:11,www.beautyshop.com,Opera/9.59.(Windows NT 6.0; br-FR) Presto/2.9.162 Version/10.00,NULL,EF5A94B2-F5F3-4B50-89E9-1CDE6A136F55
57008,search,2023-01-10 4:46:50,www.beautyshop.com/search/?query=perfume,Opera/9.59.(Windows NT 6.0; br-FR) Presto/2.9.162 Version/10.00,NULL,EF5A94B2-F5F3-4B50-89E9-1CDE6A136F55
57009,view_product,2023-01-10 4:54:08,www.beautyshop.com/product/9102,Opera/9.59.(Windows NT 6.0; br-FR) Presto/2.9.162 Version/10.00,NULL,EF5A94B2-F5F3-4B50-89E9-1CDE6A136F55
57010,add_to_cart,2023-01-10 5:04:23,www.beautyshop.com/cart,Opera/9.59.(Windows NT 6.0; br-FR) Presto/2.9.162 Version/10.00,NULL,EF5A94B2-F5F3-4B50-89E9-1CDE6A136F55
57011,checkout,2023-01-10 5:07:36,www.beautyshop.com/checkout,Opera/9.59.(Windows NT 6.0; br-FR) Presto/2.9.162 Version/10.00,www.beautyshop.com/product/9102,EF5A94B2-F5F3-4B50-89E9-1CDE6A136F55
57012,purchase,2023-01-10 5:07:53,www.beautyshop.com/complete,Opera/9.59.(Windows NT 6.0; br-FR) Presto/2.9.162 Version/10.00,www.beautyshop.com/checkout,EF5A94B2-F5F3-4B50-89E9-1CDE6A136F55
57013,impression,2023-01-10 5:40:03,null,Mozilla/5.0 (Windows NT 6.0; mk-MK; rv:1.9.2.20) Gecko/6929-08-25 02:55:44 Firefox/3.6.6,www.yahoo.com,NULL
57014,visit_site,2023-01-10 5:45:39,www.beautyshop.com,Mozilla/5.0 (Windows NT 6.0; mk-MK; rv:1.9.2.20) Gecko/6929-08-25 02:55:44 Firefox/3.6.6,www.yahoo.com,NULL
57015,search,2023-01-10 5:50:13,www.beautyshop.com/search/?query=beauty,Mozilla/5.0 (Windows NT 6.0; mk-MK; rv:1.9.2.20) Gecko/6929-08-25 02:55:44 Firefox/3.6.6,NULL,NULL
57016,view_product,2023-01-10 5:54:25,www.beautyshop.com/product/9020,Mozilla/5.0 (Windows NT 6.0; mk-MK; rv:1.9.2.20) Gecko/6929-08-25 02:55:44 Firefox/3.6.6,www.facebook.com,NULL
57017,add_to_cart,2023-01-10 6:41:54,www.beautyshop.com/cart,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_9 rv:5.0; fi-FI) AppleWebKit/533.36.6 (KHTML, like Gecko) Version/5.0.5 Safari/533.36.6",NULL,8d153af5-349d-44f6-b778-edb1637013ed
57018,email_open,2023-01-10 7:13:44,www.beautyshop.com/email/?campaign=love_yourself_valentine,"Mozilla/5.0 (Windows 98) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/36.0.828.0 Safari/531.1",Mail Client,9E9F250E-55E9-434D-BB3B-2414F117A2FA
57019,visit_site,2023-01-10 7:17:04,www.beautyshop.com,"Mozilla/5.0 (Windows 98) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/36.0.828.0 Safari/531.1",Mail Client,9E9F250E-55E9-434D-BB3B-2414F117A2FA
57020,search,2023-01-10 7:21:20,www.beautyshop.com/search/?query=hair,"Mozilla/5.0 (Windows 98) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/36.0.828.0 Safari/531.1",NULL,9E9F250E-55E9-434D-BB3B-2414F117A2FA
57021,view_product,2023-01-10 7:25:49,www.beautyshop.com/product/9027,"Mozilla/5.0 (Windows 98) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/36.0.828.0 Safari/531.1",Mail Client,9E9F250E-55E9-434D-BB3B-2414F117A2FA
57022,add_to_cart,2023-01-10 7:30:23,www.beautyshop.com/cart,"Mozilla/5.0 (Windows 98) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/36.0.828.0 Safari/531.1",NULL,9E9F250E-55E9-434D-BB3B-2414F117A2FA
57023,email_open,2023-01-10 7:33:06,www.beautyshop.com/email/?campaign=holiday_glam,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_9; rv:1.9.5.20) Gecko/8745-07-09 03:48:35 Firefox/13.0,Mail Client,NULL
57024,checkout,2023-01-10 7:36:47,www.beautyshop.com/checkout,"Mozilla/5.0 (Windows 98) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/36.0.828.0 Safari/531.1",www.beautyshop.com/product/9027,9E9F250E-55E9-434D-BB3B-2414F117A2FA
