order_id,product_id,customer_id,date,size,channel,price,month,day,year
1120100,5011,1402561,10/1/2021,12,search_bing,$110.00,10,1,2021
1120101,5096,1402573,10/25/2021,8,email_existing,$190.00,10,25,2021
1120102,5131,1403036,11/29/2021,10,email_new_user,$55.00,11,29,2021
1120103,5034,1402533,10/10/2021,14,email_new_user,$210.00,10,10,2021
1120104,5060,1402881,11/29/2021,7,search_google,$90.00,11,29,2021
1120105,5119,1402817,11/29/2021,6,Google,$60.00,11,29,2021
1120106,5121,1402688,10/16/2021,7,social_fb,$45.00,10,16,2021
1120107,5087,1402656,10/27/2021,10,Google,$205.00,10,27,2021
1120108,5045,1402758,10/19/2021,12,Google,$110.00,10,19,2021
1120109,5064,1402694,10/7/2021,7,search_google,$60.00,10,7,2021
1120110,5067,1402611,10/23/2021,7,Google,$90.00,10,23,2021
1120111,5100,1402793,10/25/2021,5,affiliate_display,$185.00,10,25,2021
1120112,5035,1403098,10/4/2021,6,email_new_user,$80.00,10,4,2021
1120113,5039,1402591,10/23/2021,7,email_new_user,$195.00,10,23,2021
1120114,5092,1402874,10/24/2021,9,social_tiktok,$195.00,10,24,2021
1120115,5103,1402585,10/22/2021,7,search_google,$230.00,10,22,2021
1120116,5039,1402752,10/6/2021,10,email_existing,$180.00,10,6,2021
1120117,5047,1402863,10/1/2021,13,search_google,$75.00,10,1,2021
1120118,5098,1402823,10/4/2021,10,TikTok,$225.00,10,4,2021
1120119,5123,1403034,10/9/2021,11,affiliate_text,$50.00,10,9,2021
1120120,5021,1402748,10/14/2021,11,GA,$65.00,10,14,2021
1120121,5032,1402976,11/28/2021,8,social_twitter,$100.00,11,28,2021
1120122,5013,1403028,10/16/2021,12,email_existing,$120.00,10,16,2021
1120123,5080,1402652,10/15/2021,8,email_new_user,$120.00,10,15,2021
1120124,5085,1402671,10/4/2021,9,social_fb,$80.00,10,4,2021
1120125,5084,1403009,10/8/2021,10,affiliate_text,$80.00,10,8,2021
1120126,5094,1402971,10/21/2021,6,email_existing,$250.00,10,21,2021
1120127,5081,1403035,10/1/2021,8,Google Analytics,$75.00,10,1,2021
1120128,5110,1403027,11/30/2021,6,social_tiktok,$215.00,11,30,2021
1120129,5073,1402966,10/15/2021,7,Bing,$50.00,10,15,2021
1120130,5120,1402900,10/2/2021,9,email_new_user,$60.00,10,2,2021
1120131,5066,1402912,10/9/2021,6,search_bing,$75.00,10,9,2021
1120132,5028,1402724,10/6/2021,9,Yahoo,$70.00,10,6,2021
1120133,5096,1403074,10/23/2021,10,email_new_user,$220.00,10,23,2021
1120134,5139,1402716,10/18/2021,8,search_google,$65.00,10,18,2021
1120135,5012,1402523,10/29/2021,10,email_existing,$70.00,10,29,2021
1120136,5090,1402734,10/24/2021,7,email_existing,$75.00,10,24,2021
1120137,5109,1402973,10/12/2021,7,email_existing,$190.00,10,12,2021
1120138,5021,1402988,10/22/2021,10,search_google,$60.00,10,22,2021
1120139,5134,1402718,10/30/2021,13,google_search,$30.00,10,30,2021
1120140,5137,1402801,10/8/2021,9,FB,$30.00,10,8,2021
1120141,5039,1403032,10/8/2021,11,email_existing,$195.00,10,8,2021
1120142,5044,1402738,10/2/2021,9,social_tiktok,$80.00,10,2,2021
1120143,5006,1402801,10/30/2021,9,search_google,$70.00,10,30,2021
1120144,5071,1402839,10/5/2021,5,email_existing,$55.00,10,5,2021
1120145,5085,1402963,10/14/2021,9,search_yahoo,$75.00,10,14,2021
1120146,5102,1402545,10/5/2021,8,search_google,$190.00,10,5,2021
1120147,5065,1403067,10/19/2021,9,social_tiktok,$95.00,10,19,2021
1120148,5106,1402693,10/5/2021,6,search_google,$200.00,10,5,2021
1120149,5036,1402902,10/20/2021,7,email_new_user,$230.00,10,20,2021
1120150,5026,1403064,10/22/2021,8,email_existing,$95.00,10,22,2021
1120151,5066,1402567,10/15/2021,6,search_google,$75.00,10,15,2021
1120152,5036,1402556,10/16/2021,9,email_new_user,$230.00,10,16,2021
1120153,5067,1402622,11/25/2021,11,social_fb,$105.00,11,25,2021
1120154,5000,1402954,10/16/2021,8,search_google,$95.00,10,16,2021
1120155,5000,1402975,10/12/2021,8,email_new_user,$110.00,10,12,2021
1120156,5025,1403072,10/7/2021,6,social_fb,$100.00,10,7,2021
1120157,5035,1402924,10/21/2021,9,search_google,$70.00,10,21,2021
1120158,5139,1402933,10/31/2021,11,search_bing,$55.00,10,31,2021
1120159,5048,1403039,10/25/2021,7,search_bing,$190.00,10,25,2021
1120160,5087,1402591,11/22/2021,10,email_existing,$205.00,11,22,2021
1120161,5027,1402735,11/9/2021,8,GA,$130.00,11,9,2021
1120162,5055,1402878,11/28/2021,10,social_fb,$235.00,11,28,2021
